epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.577,3.54222,3.42113,4.19369,0.00811,0.54478,0.02684,0.00682,3.45372,3.28481,4.15891,2e-05,2e-05,2e-05
2,23.9137,3.42981,3.3566,4.22746,0.00811,0.54478,0.0469,0.00994,3.45353,3.28401,4.15885,5.406e-05,5.406e-05,5.406e-05
3,34.3765,3.48219,3.38053,4.273,0.00822,0.55224,0.04471,0.01019,3.45314,3.28329,4.15866,8.02e-05,8.02e-05,8.02e-05
4,44.6663,3.51279,3.20246,4.17955,0.00789,0.52985,0.02252,0.00759,3.4525,3.28267,4.15832,9.842e-05,9.842e-05,9.842e-05
5,54.8709,3.4443,3.38391,4.20708,0.008,0.53731,0.0151,0.005,3.45162,3.28194,4.1578,0.00010872,0.00010872,0.00010872
6,65.0273,3.54203,3.26474,4.1933,0.008,0.53731,0.03471,0.00953,3.45048,3.28127,4.15716,0.0001111,0.0001111,0.0001111
7,75.4796,3.42275,3.26225,4.19725,0.008,0.53731,0.0174,0.00576,3.44922,3.28025,4.15637,0.00010556,0.00010556,0.00010556
8,85.6677,3.45963,3.19745,4.14495,0.00789,0.52985,0.01559,0.00494,3.44814,3.27892,4.15555,9.21e-05,9.21e-05,9.21e-05
9,95.7511,3.4009,3.10607,4.14851,0.008,0.53731,0.03315,0.00882,3.44741,3.27859,4.15514,7.072e-05,7.072e-05,7.072e-05
10,106.26,3.42194,3.18322,4.16511,0.00789,0.52985,0.01886,0.0062,3.44628,3.27766,4.15448,4.142e-05,4.142e-05,4.142e-05
